model,image_id,response_index,label,category,layer,target_token_id,competitor_token_id,prefix_excludes_target,prediction_position,clean_target_logit,clean_margin,gradient_clean_target_logit_abs_error,gradient_clean_margin_abs_error,a_logit_total,a_margin_total,a_margin_positive_mass,a_margin_negative_mass,a_margin_positive_minus_negative,a_margin_positive_fraction,a_margin_max_positive,a_margin_minimum,a_margin_positive_support_nonzero,a_margin_cancellation_ratio,logit_additivity_relative_error,margin_additivity_relative_error,visual_token_count
llava_1_5_7b,395405,13,REAL,couch,8,274,577,True,605,20.28125,2.921875,0.0,0.0,0.013919183984398842,-0.010419926606118679,0.003624532837420702,0.014044458046555519,-0.010419925674796104,0.5138888955116272,0.00019491800048854202,-0.0017544669099152088,True,0.5897295475006104,2.0072779705060384e-07,8.937900020100642e-08,576
llava_1_5_7b,395405,13,REAL,couch,16,274,577,True,605,20.28125,2.921875,0.0,0.0,0.13454633951187134,0.008299789391458035,0.024613071233034134,0.016313279047608376,0.008299792185425758,0.7378472089767456,0.002415398834273219,-0.001664056209847331,True,0.20279818773269653,0.0,3.366310465935385e-07,576
llava_1_5_7b,395405,13,REAL,couch,24,274,577,True,605,20.28125,2.921875,0.0,0.0,0.01272093690931797,-0.0020546424202620983,0.005578804761171341,0.0076334476470947266,-0.0020546428859233856,0.5815972089767456,0.00038672913797199726,-0.001246091560460627,True,0.15551036596298218,1.464235594994534e-07,1.1331942459946731e-06,576
llava_1_5_7b,395405,13,REAL,couch,32,274,577,True,605,20.28125,2.921875,0.0,0.0,0.19134710729122162,0.0558999702334404,0.08697444200515747,0.03107447922229767,0.0558999627828598,0.5555555820465088,0.017094694077968597,-0.0008568602497689426,True,0.47353219985961914,7.787502198652874e-08,5.331369266059482e-07,576
llava_1_5_7b,395405,117,HALL,vase,8,325,18002,True,709,16.875,0.90625,0.0,0.0,0.011860180646181107,0.005241888575255871,0.00538503285497427,0.0001431442506145686,0.005241888575255871,0.9704861044883728,0.000295811565592885,-8.794922905508429e-05,True,0.9482128620147705,0.0,0.0,576
llava_1_5_7b,395405,117,HALL,vase,16,325,18002,True,709,16.875,0.90625,0.0,0.0,0.07759101688861847,0.0482758954167366,0.06513364613056183,0.016857754439115524,0.048275891691446304,0.6579861044883728,0.005070929415524006,-0.001032301806844771,True,0.5887922048568726,0.0,0.0,576
llava_1_5_7b,395405,117,HALL,vase,24,325,18002,True,709,16.875,0.90625,0.0,0.0,-0.01550985686480999,-0.03414728492498398,0.01654728688299656,0.05069456994533539,-0.03414728492498398,0.3645833432674408,0.0014210448134690523,-0.0167587511241436,True,0.5078278183937073,0.0,1.0909476344522773e-07,576
llava_1_5_7b,395405,117,HALL,vase,32,325,18002,True,709,16.875,0.90625,0.0,0.0,-0.1069982573390007,-0.07330005615949631,0.014743786305189133,0.08804384618997574,-0.0733000636100769,0.15625,0.0016183680854737759,-0.0009956159628927708,True,0.7131213545799255,3.481635246771475e-07,1.0164494312903116e-07,576
llava_1_5_7b,54133,27,REAL,oven,8,380,28169,True,619,18.46875,0.4375,0.0,0.0,0.024107633158564568,0.01679789088666439,0.020028505474328995,0.003230614587664604,0.01679789088666439,0.7534722089767456,0.000675810151733458,-0.00029565178556367755,True,0.7222065925598145,7.726369943839018e-08,1.1088564377814691e-07,576
llava_1_5_7b,54133,27,REAL,oven,16,380,28169,True,619,18.46875,0.4375,0.0,0.0,0.046996064484119415,0.05425957962870598,0.07470443844795227,0.02044486068189144,0.05425957590341568,0.456597238779068,0.010207653045654297,-0.0008329564006999135,True,0.5702572464942932,7.926814049596942e-08,6.865681712042715e-08,576
llava_1_5_7b,54133,27,REAL,oven,24,380,28169,True,619,18.46875,0.4375,0.0,0.0,-0.004522890318185091,0.004040979780256748,0.017345864325761795,0.013304884545505047,0.004040979780256748,0.46875,0.001620951690711081,-0.0016791971866041422,True,0.13183951377868652,5.147825845597254e-07,9.218788363796193e-07,576
llava_1_5_7b,54133,27,REAL,oven,32,380,28169,True,619,18.46875,0.4375,0.0,0.0,-0.20464111864566803,-0.14460967481136322,0.023921802639961243,0.16853147745132446,-0.14460967481136322,0.204861119389534,0.00156847620382905,-0.005338066723197699,True,0.7514015436172485,0.0,1.0304402309202487e-07,576
llava_1_5_7b,54133,90,HALL,handbag,8,1361,1250,True,682,17.0,0.15625,0.0,0.0,0.0035093759652227163,-0.0035669344943016768,0.0008081322303041816,0.0043750666081905365,-0.003566934261471033,0.3020833432674408,9.075035632122308e-05,-0.00032619840931147337,True,0.6881723403930664,1.9903598058590433e-07,2.6109879058822116e-07,576
